,URL,Title,Date
0,https://www.kommersant.ru/doc/3718636,Фигурант по делу «Армии воли народа» Валерий Парфенов вышел из колонии,2018-08-18
1,https://www.kommersant.ru/doc/3718635,Володин не исключил встречу с Mail.ru по декриминализации ответственности за репосты,2018-08-18
2,https://www.kommersant.ru/doc/3718611,В Иркутской области сожгли автомобиль мэра города Шелехов,2018-08-18
3,https://www.kommersant.ru/doc/3718600,Возбуждено уголовное дело по факту кражи нефти «Сургутнефтегаза»,2018-08-18
4,https://www.kommersant.ru/doc/3718243,"Рок и кантри объединяют людей, open space — отдаляет, а мысли о деньгах мешают спать
Любопытные новости и исследования 13–17 августа",2018-08-18
5,https://www.kommersant.ru/doc/3718272,Как офис без дверей влияет на общение коллег,2018-08-18
6,https://www.kommersant.ru/doc/3718267,Как музыкальные вкусы помогают найти пару,2018-08-18
7,https://www.kommersant.ru/doc/3706405,"Первые из русских
Россияне, которые опровергли стереотипы",2018-08-18
8,https://www.kommersant.ru/doc/3718593,Главу дагестанского ФОМС подозревают в мошенничестве,2018-08-18
9,https://www.kommersant.ru/doc/3718591,Разлив нефти в Сургуте локализован,2018-08-18
10,https://www.kommersant.ru/doc/3718589,«РИА Новости» сообщило об обновлении общественного совета при Минприроды,2018-08-18
11,https://www.kommersant.ru/doc/3718576,Ночные автобусы до аэропорта Внуково запустят 18 августа,2018-08-18
12,https://www.kommersant.ru/doc/3718575,ТАСС глава Территориального ФОМС Дагестана задержан по делу о превышении полномочий,2018-08-18
13,https://www.kommersant.ru/doc/3718389,Суд не стал рассматривать жалобу участников Pussy Riot,2018-08-18
14,https://www.kommersant.ru/doc/3718391,"Минтимер Шаймиев молодо выступил
Первый президент Татарстана поддержал повышение пенсионного возраста в России",2018-08-18
15,https://www.kommersant.ru/doc/3718386,"Больше трех не усыновлять
Минпросвещения предлагает реформу системы опеки и попечительства",2018-08-18
16,https://www.kommersant.ru/doc/3718342,"Конгрессу наблюдателей не хватило «Голоса»
Движение не пригласили на форум, несмотря на призывы главы ЦИКа",2018-08-18
17,https://www.kommersant.ru/doc/3718711,"В «Энергии» нашлись меченые купюры
СКР возбудил уголовное дело в отношении трех сотрудников космической корпорации",2018-08-19
18,https://www.kommersant.ru/doc/3718708,ОАК планирует подписать контракт с Минобороны по Су-57 до конца лета,2018-08-19
19,https://www.kommersant.ru/doc/3718719,"С трапа — в СИЗО
Дагестанского чиновника заподозрили в организации преступного сообщества",2018-08-19
20,https://www.kommersant.ru/doc/3718726,Суд арестовал главу дагестанского ФОМС на два месяца,2018-08-19
21,https://www.kommersant.ru/doc/3718698,Гидрометцентр объявил «желтый» уровень опасности в Москве на понедельник,2018-08-19
22,https://www.kommersant.ru/doc/3718700,Модернизированный для ВКС вертолет Ми-26 совершил первый полет,2018-08-19
23,https://www.kommersant.ru/doc/3718696,Фигурант дела «Нового величия» Полетаев написал из СИЗО письмо с просьбой о помощи,2018-08-19
24,https://www.kommersant.ru/doc/3718695,После ДТП с автобусом в Ставропольском крае возбуждено уголовное дело,2018-08-19
